DeviceTag: 1(up),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.704,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
262326,0.4502,-0.0105,-0.0014,0.8929,0.0006,-0.0037,5.8147,0
262493,0.4496,-0.0103,-0.0014,0.8932,0.0287,-0.0086,5.8216,0
262659,0.4499,-0.0104,-0.0015,0.8930,0.0178,-0.0105,5.8411,0
262826,0.4499,-0.0104,-0.0015,0.8930,0.0204,-0.0018,5.8305,0
262993,0.4500,-0.0104,-0.0016,0.8930,0.0040,-0.0132,5.8275,0
263159,0.4500,-0.0103,-0.0016,0.8930,0.0169,-0.0144,5.8222,0
263326,0.4499,-0.0102,-0.0016,0.8930,0.0166,-0.0195,5.8234,0
263493,0.4498,-0.0101,-0.0016,0.8931,0.0191,-0.0161,5.8351,0
263659,0.4499,-0.0099,-0.0016,0.8930,0.0183,-0.0196,5.8450,0
263826,0.4498,-0.0098,-0.0015,0.8931,0.0297,-0.0297,5.8123,0
263993,0.4499,-0.0097,-0.0015,0.8930,0.0341,-0.0323,5.8426,0
264159,0.4498,-0.0095,-0.0015,0.8931,0.0377,-0.0130,5.8316,0
264326,0.4499,-0.0094,-0.0015,0.8930,0.0374,-0.0260,5.8295,0
264493,0.4499,-0.0093,-0.0015,0.8931,0.0377,-0.0214,5.8515,0
264659,0.4499,-0.0091,-0.0016,0.8930,0.0457,-0.0322,5.8586,0
264826,0.4499,-0.0090,-0.0016,0.8930,0.0532,-0.0384,5.8530,0
264993,0.4498,-0.0088,-0.0016,0.8931,0.0759,-0.0291,5.8059,0
265159,0.4498,-0.0087,-0.0016,0.8931,0.0706,-0.0329,5.8314,0
265326,0.4498,-0.0085,-0.0016,0.8931,0.0602,-0.0293,5.8580,0
265493,0.4498,-0.0084,-0.0017,0.8931,0.0564,-0.0333,5.8297,0
265659,0.4499,-0.0083,-0.0017,0.8931,0.0693,-0.0446,5.8352,0
265826,0.4499,-0.0081,-0.0017,0.8930,0.0741,-0.0451,5.8024,0
265993,0.4499,-0.0080,-0.0017,0.8930,0.1004,-0.0557,5.8568,0
266159,0.4499,-0.0078,-0.0017,0.8930,0.0834,-0.0378,5.8191,0
266326,0.4499,-0.0077,-0.0018,0.8930,0.0924,-0.0604,5.8323,0
266493,0.4499,-0.0076,-0.0018,0.8930,0.0884,-0.0571,5.8335,0
266659,0.4499,-0.0074,-0.0018,0.8930,0.0869,-0.0652,5.8435,0
266826,0.4499,-0.0073,-0.0018,0.8930,0.0913,-0.0604,5.8395,0
266993,0.4499,-0.0071,-0.0018,0.8930,0.0944,-0.0649,5.8219,0
267159,0.4499,-0.0070,-0.0019,0.8931,0.1046,-0.0709,5.8370,0
267326,0.4498,-0.0068,-0.0019,0.8931,0.1221,-0.0691,5.8325,0
267493,0.4498,-0.0066,-0.0019,0.8931,0.1138,-0.0856,5.8407,0
267659,0.4499,-0.0064,-0.0019,0.8931,0.1244,-0.0766,5.8318,0
267826,0.4499,-0.0062,-0.0020,0.8931,0.1205,-0.0855,5.8345,0
267993,0.4499,-0.0059,-0.0020,0.8931,0.1324,-0.0741,5.8134,0
268159,0.4499,-0.0057,-0.0020,0.8931,0.1315,-0.0922,5.8147,0
268326,0.4499,-0.0055,-0.0020,0.8931,0.1316,-0.0857,5.8310,0
268493,0.4499,-0.0052,-0.0021,0.8931,0.1496,-0.1038,5.8605,0
268659,0.4499,-0.0050,-0.0021,0.8931,0.1582,-0.1017,5.8278,0
268826,0.4499,-0.0048,-0.0021,0.8931,0.1635,-0.0967,5.8196,0
268993,0.4499,-0.0045,-0.0021,0.8930,0.1803,-0.0966,5.8425,0
269159,0.4500,-0.0043,-0.0022,0.8930,0.1699,-0.1144,5.8393,0
269326,0.4500,-0.0041,-0.0022,0.8930,0.1707,-0.1210,5.8514,0
269493,0.4500,-0.0039,-0.0022,0.8930,0.1769,-0.1046,5.8222,0
269659,0.4501,-0.0036,-0.0022,0.8930,0.1822,-0.1133,5.8183,0
269826,0.4501,-0.0034,-0.0023,0.8930,0.1890,-0.1186,5.8364,0
269993,0.4501,-0.0031,-0.0023,0.8930,0.2009,-0.1449,5.8347,0
270159,0.4501,-0.0029,-0.0023,0.8930,0.2269,-0.1287,5.8258,0
270326,0.4501,-0.0027,-0.0023,0.8930,0.2336,-0.1304,5.8287,0
270493,0.4501,-0.0024,-0.0024,0.8929,0.2169,-0.1430,5.8110,0
270659,0.4501,-0.0022,-0.0024,0.8930,0.2208,-0.1575,5.8312,0
270826,0.4502,-0.0020,-0.0024,0.8929,0.2228,-0.1613,5.8507,0
270993,0.4502,-0.0017,-0.0024,0.8929,0.2417,-0.1487,5.8396,0
271159,0.4503,-0.0015,-0.0024,0.8929,0.2597,-0.1596,5.8390,0
271326,0.4503,-0.0013,-0.0025,0.8929,0.2529,-0.1616,5.8277,0
271493,0.4503,-0.0011,-0.0025,0.8929,0.2565,-0.1699,5.8515,0
271659,0.4503,-0.0008,-0.0025,0.8929,0.2611,-0.1825,5.8572,0
271826,0.4504,-0.0006,-0.0026,0.8928,0.2557,-0.1739,5.8400,0
271993,0.4504,-0.0004,-0.0026,0.8928,0.2756,-0.1893,5.8562,0
272159,0.4505,-0.0002,-0.0026,0.8928,0.2935,-0.1896,5.8310,0
272326,0.4505,0.0001,-0.0026,0.8928,0.2862,-0.1839,5.8236,0
272493,0.4505,0.0003,-0.0027,0.8928,0.2899,-0.1868,5.8365,0
272659,0.4506,0.0005,-0.0027,0.8927,0.2991,-0.1973,5.8174,0
272826,0.4506,0.0007,-0.0027,0.8927,0.3061,-0.1855,5.8390,0
272993,0.4506,0.0010,-0.0027,0.8927,0.2936,-0.2032,5.8253,0
273159,0.4507,0.0012,-0.0028,0.8927,0.3094,-0.1932,5.8611,0
273326,0.4507,0.0014,-0.0028,0.8927,0.3294,-0.2158,5.8265,0
273493,0.4508,0.0017,-0.0028,0.8926,0.3306,-0.2241,5.8313,0
273659,0.4508,0.0019,-0.0029,0.8926,0.3395,-0.2135,5.8106,0
273826,0.4508,0.0021,-0.0029,0.8926,0.3506,-0.2318,5.8496,0
273993,0.4509,0.0024,-0.0029,0.8926,0.3563,-0.2316,5.8299,0
274159,0.4509,0.0026,-0.0030,0.8926,0.3500,-0.2285,5.8518,0
274326,0.4509,0.0028,-0.0030,0.8925,0.3468,-0.2314,5.8189,0
274493,0.4510,0.0030,-0.0030,0.8925,0.3615,-0.2432,5.8160,0
274659,0.4510,0.0033,-0.0030,0.8925,0.3717,-0.2437,5.8351,0
274826,0.4510,0.0035,-0.0031,0.8925,0.3713,-0.2425,5.8209,0
274993,0.4511,0.0037,-0.0031,0.8925,0.3790,-0.2578,5.8358,0
275159,0.4511,0.0040,-0.0031,0.8924,0.3904,-0.2523,5.8185,0
275326,0.4512,0.0042,-0.0031,0.8924,0.3907,-0.2509,5.8336,0
275493,0.4512,0.0044,-0.0032,0.8924,0.3952,-0.2591,5.8476,0
275660,0.4513,0.0046,-0.0032,0.8924,0.3969,-0.2702,5.8464,0
275826,0.4513,0.0049,-0.0032,0.8923,0.4238,-0.2741,5.8368,0
275993,0.4514,0.0051,-0.0032,0.8923,0.4158,-0.2692,5.8504,0
276160,0.4515,0.0053,-0.0033,0.8923,0.4371,-0.2803,5.8506,0
276326,0.4515,0.0056,-0.0033,0.8922,0.4390,-0.2805,5.8266,0
276493,0.4515,0.0058,-0.0033,0.8922,0.4414,-0.2920,5.8436,0
276660,0.4516,0.0060,-0.0033,0.8922,0.4445,-0.2896,5.8276,0
276826,0.4517,0.0062,-0.0034,0.8921,0.4417,-0.2899,5.8266,0
276993,0.4518,0.0065,-0.0034,0.8921,0.4614,-0.3026,5.8159,0
277160,0.4518,0.0067,-0.0034,0.8921,0.4466,-0.2928,5.8293,0
277326,0.4519,0.0069,-0.0035,0.8920,0.4633,-0.2996,5.8248,0
277493,0.4519,0.0071,-0.0035,0.8920,0.4843,-0.3018,5.8399,0
277660,0.4520,0.0073,-0.0035,0.8920,0.4877,-0.3122,5.8216,0
277826,0.4521,0.0076,-0.0035,0.8919,0.4768,-0.3333,5.8098,0
277993,0.4521,0.0078,-0.0036,0.8919,0.4851,-0.3335,5.8311,0
278160,0.4522,0.0080,-0.0036,0.8919,0.5050,-0.3165,5.8365,0
278326,0.4523,0.0083,-0.0036,0.8918,0.5163,-0.3338,5.8297,0
278493,0.4524,0.0085,-0.0036,0.8918,0.5222,-0.3391,5.8179,0
278660,0.4524,0.0087,-0.0037,0.8917,0.5160,-0.3488,5.8191,0
