DeviceTag: 3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.348,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
258511,0.2703,-0.0065,-0.0077,0.9627,-0.0213,0.0136,0.0705,0
258678,0.2697,-0.0062,-0.0079,0.9629,-0.0128,0.0067,0.0894,0
258845,0.2696,-0.0060,-0.0082,0.9629,-0.0147,0.0065,0.0838,0
259011,0.2696,-0.0058,-0.0084,0.9629,0.0024,0.0021,0.0851,0
259178,0.2695,-0.0056,-0.0086,0.9629,0.0004,-0.0028,0.0734,0
259345,0.2694,-0.0055,-0.0087,0.9630,-0.0093,0.0048,0.0905,0
259511,0.2693,-0.0054,-0.0089,0.9630,0.0037,-0.0319,0.0916,0
259678,0.2690,-0.0054,-0.0091,0.9631,-0.0035,-0.0171,0.0904,0
259845,0.2690,-0.0054,-0.0092,0.9631,0.0041,-0.0229,0.0781,0
260011,0.2691,-0.0053,-0.0093,0.9630,0.0076,-0.0368,0.0651,0
260178,0.2690,-0.0053,-0.0094,0.9631,0.0000,-0.0219,0.0990,0
260345,0.2690,-0.0053,-0.0095,0.9631,0.0014,-0.0209,0.0489,0
260511,0.2690,-0.0053,-0.0096,0.9631,-0.0030,-0.0284,0.0855,0
260678,0.2689,-0.0052,-0.0097,0.9631,0.0111,-0.0273,0.0552,0
260845,0.2687,-0.0052,-0.0098,0.9632,0.0084,-0.0474,0.0689,0
261011,0.2685,-0.0052,-0.0100,0.9632,0.0055,-0.0380,0.0711,0
261178,0.2685,-0.0052,-0.0101,0.9632,-0.0022,-0.0452,0.0719,0
261345,0.2683,-0.0051,-0.0102,0.9633,-0.0010,-0.0277,0.0782,0
261511,0.2682,-0.0051,-0.0103,0.9633,-0.0108,-0.0476,0.0655,0
261678,0.2680,-0.0051,-0.0104,0.9634,-0.0119,-0.0495,0.0687,0
261845,0.2683,-0.0050,-0.0105,0.9633,-0.0062,-0.0550,0.0646,0
262011,0.2685,-0.0050,-0.0107,0.9632,-0.0089,-0.0513,0.0889,0
262178,0.2682,-0.0050,-0.0108,0.9633,0.0042,-0.0575,0.0636,0
262345,0.2682,-0.0050,-0.0109,0.9633,0.0070,-0.0501,0.0473,0
262511,0.2682,-0.0049,-0.0110,0.9633,-0.0174,-0.0516,0.0653,0
262678,0.2685,-0.0049,-0.0111,0.9632,0.0004,-0.0612,0.0899,0
262845,0.2685,-0.0049,-0.0112,0.9632,0.0023,-0.0693,0.0787,0
263011,0.2686,-0.0048,-0.0114,0.9632,-0.0035,-0.0630,0.0848,0
263178,0.2684,-0.0048,-0.0115,0.9632,-0.0139,-0.0630,0.0792,0
263345,0.2684,-0.0048,-0.0116,0.9632,-0.0032,-0.0763,0.0931,0
263511,0.2682,-0.0048,-0.0117,0.9633,0.0100,-0.0672,0.0840,0
263678,0.2683,-0.0047,-0.0119,0.9632,0.0156,-0.0640,0.0768,0
263845,0.2682,-0.0047,-0.0120,0.9633,0.0171,-0.0771,0.0618,0
