DeviceTag: 2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.172,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
257064,0.2686,-0.0137,-0.0081,0.9631,-0.0065,-0.0006,1.0738,0
257231,0.2692,-0.0138,-0.0084,0.9629,-0.0071,-0.0055,1.0903,0
257398,0.2692,-0.0138,-0.0086,0.9630,-0.0126,-0.0053,1.0879,0
257564,0.2689,-0.0139,-0.0089,0.9630,-0.0101,0.0101,1.0732,0
257731,0.2690,-0.0139,-0.0092,0.9630,-0.0238,-0.0064,1.0933,0
257898,0.2687,-0.0139,-0.0094,0.9631,-0.0167,-0.0215,1.0963,0
258064,0.2688,-0.0139,-0.0097,0.9631,-0.0224,-0.0289,1.0869,0
258231,0.2686,-0.0140,-0.0098,0.9631,-0.0131,-0.0284,1.0943,0
258398,0.2685,-0.0140,-0.0100,0.9631,-0.0429,-0.0387,1.1194,0
258564,0.2685,-0.0141,-0.0102,0.9631,-0.0251,-0.0386,1.0773,0
258731,0.2684,-0.0142,-0.0104,0.9631,-0.0237,-0.0442,1.1059,0
258898,0.2683,-0.0142,-0.0106,0.9632,-0.0413,-0.0358,1.0929,0
259064,0.2680,-0.0143,-0.0108,0.9633,-0.0388,-0.0450,1.0909,0
259231,0.2681,-0.0144,-0.0110,0.9632,-0.0398,-0.0341,1.0775,0
259398,0.2682,-0.0145,-0.0112,0.9632,-0.0313,-0.0494,1.0931,0
259564,0.2682,-0.0145,-0.0114,0.9632,-0.0514,-0.0612,1.1030,0
259731,0.2681,-0.0146,-0.0116,0.9632,-0.0524,-0.0599,1.0828,0
259898,0.2681,-0.0147,-0.0118,0.9632,-0.0528,-0.0424,1.0882,0
260064,0.2681,-0.0148,-0.0121,0.9632,-0.0649,-0.0800,1.0673,0
260231,0.2682,-0.0149,-0.0123,0.9632,-0.0583,-0.0828,1.0823,0
260398,0.2680,-0.0149,-0.0125,0.9632,-0.0595,-0.0824,1.0730,0
260564,0.2678,-0.0150,-0.0127,0.9633,-0.0638,-0.0863,1.0872,0
260731,0.2676,-0.0151,-0.0129,0.9633,-0.0676,-0.0818,1.0865,0
260898,0.2676,-0.0152,-0.0131,0.9633,-0.0639,-0.0912,1.0880,0
261064,0.2675,-0.0153,-0.0133,0.9633,-0.0816,-0.0888,1.0936,0
261231,0.2674,-0.0153,-0.0135,0.9634,-0.0646,-0.0866,1.1077,0
261398,0.2673,-0.0154,-0.0137,0.9634,-0.0700,-0.0965,1.0660,0
261564,0.2672,-0.0155,-0.0140,0.9634,-0.0906,-0.0921,1.0879,0
261731,0.2671,-0.0156,-0.0142,0.9634,-0.0741,-0.1069,1.0923,0
261898,0.2670,-0.0157,-0.0144,0.9635,-0.0835,-0.1133,1.0743,0
262064,0.2670,-0.0158,-0.0146,0.9635,-0.0973,-0.1113,1.0983,0
262231,0.2669,-0.0158,-0.0148,0.9635,-0.0844,-0.1271,1.0999,0
262398,0.2668,-0.0159,-0.0150,0.9635,-0.0878,-0.1236,1.1140,0
262564,0.2668,-0.0160,-0.0152,0.9635,-0.1036,-0.1340,1.1061,0
262731,0.2667,-0.0161,-0.0154,0.9635,-0.1060,-0.1165,1.0882,0
262898,0.2667,-0.0162,-0.0157,0.9635,-0.1017,-0.1275,1.0983,0
263064,0.2665,-0.0163,-0.0159,0.9636,-0.1082,-0.1409,1.0733,0
263231,0.2664,-0.0164,-0.0161,0.9636,-0.1197,-0.1402,1.0824,0
263398,0.2664,-0.0165,-0.0163,0.9636,-0.1259,-0.1457,1.0747,0
263564,0.2663,-0.0166,-0.0165,0.9636,-0.1067,-0.1588,1.0606,0
263731,0.2662,-0.0166,-0.0167,0.9636,-0.1390,-0.1469,1.0851,0
263898,0.2662,-0.0167,-0.0170,0.9636,-0.1080,-0.1462,1.0936,0
264064,0.2661,-0.0168,-0.0172,0.9636,-0.1344,-0.1497,1.0815,0
264231,0.2661,-0.0169,-0.0174,0.9636,-0.1298,-0.1540,1.0968,0
264398,0.2661,-0.0170,-0.0176,0.9636,-0.1333,-0.1709,1.0984,0
264564,0.2660,-0.0171,-0.0178,0.9636,-0.1487,-0.1753,1.0987,0
264731,0.2661,-0.0172,-0.0180,0.9636,-0.1408,-0.1801,1.0841,0
264898,0.2660,-0.0172,-0.0182,0.9636,-0.1479,-0.1769,1.0678,0
265064,0.2660,-0.0173,-0.0184,0.9636,-0.1374,-0.1940,1.0948,0
265231,0.2660,-0.0174,-0.0187,0.9636,-0.1568,-0.1914,1.0908,0
265398,0.2659,-0.0175,-0.0189,0.9637,-0.1463,-0.2082,1.1002,0
265564,0.2659,-0.0176,-0.0191,0.9637,-0.1479,-0.1982,1.0619,0
265731,0.2659,-0.0177,-0.0193,0.9636,-0.1665,-0.2028,1.0971,0
265898,0.2658,-0.0178,-0.0195,0.9637,-0.1748,-0.1937,1.0978,0
266064,0.2658,-0.0178,-0.0197,0.9637,-0.1729,-0.2096,1.0931,0
266231,0.2658,-0.0179,-0.0199,0.9637,-0.1646,-0.2026,1.0830,0
266398,0.2657,-0.0180,-0.0201,0.9637,-0.1725,-0.2267,1.0774,0
266564,0.2657,-0.0181,-0.0203,0.9637,-0.1804,-0.2295,1.0775,0
266731,0.2657,-0.0182,-0.0205,0.9637,-0.1773,-0.2182,1.0823,0
266898,0.2656,-0.0183,-0.0207,0.9637,-0.1712,-0.2295,1.0897,0
267064,0.2656,-0.0184,-0.0209,0.9637,-0.1874,-0.2296,1.0832,0
267231,0.2655,-0.0184,-0.0211,0.9637,-0.1860,-0.2215,1.0854,0
267398,0.2655,-0.0185,-0.0213,0.9637,-0.1854,-0.2363,1.1011,0
267564,0.2654,-0.0186,-0.0215,0.9637,-0.1822,-0.2413,1.0903,0
267731,0.2654,-0.0187,-0.0217,0.9637,-0.1982,-0.2576,1.0851,0
267898,0.2654,-0.0187,-0.0219,0.9637,-0.1993,-0.2646,1.0946,0
268064,0.2654,-0.0188,-0.0221,0.9637,-0.1975,-0.2349,1.0841,0
268231,0.2653,-0.0189,-0.0223,0.9637,-0.2159,-0.2569,1.0934,0
268398,0.2652,-0.0190,-0.0225,0.9637,-0.2056,-0.2678,1.0981,0
268565,0.2652,-0.0190,-0.0227,0.9638,-0.2067,-0.2625,1.1025,0
268731,0.2651,-0.0191,-0.0229,0.9637,-0.2159,-0.2646,1.0813,0
268898,0.2651,-0.0192,-0.0231,0.9637,-0.2094,-0.2645,1.0974,0
269065,0.2651,-0.0193,-0.0232,0.9637,-0.2083,-0.2836,1.0641,0
269231,0.2650,-0.0194,-0.0234,0.9638,-0.2183,-0.2846,1.0654,0
269398,0.2651,-0.0194,-0.0236,0.9637,-0.2223,-0.2888,1.0677,0
269565,0.2650,-0.0195,-0.0238,0.9637,-0.2232,-0.2864,1.0881,0
269731,0.2650,-0.0196,-0.0240,0.9637,-0.2277,-0.2855,1.0686,0
269898,0.2650,-0.0197,-0.0242,0.9637,-0.2341,-0.2972,1.0816,0
270065,0.2650,-0.0197,-0.0243,0.9637,-0.2254,-0.3135,1.0850,0
270231,0.2650,-0.0198,-0.0245,0.9637,-0.2363,-0.2797,1.0867,0
270398,0.2650,-0.0199,-0.0247,0.9637,-0.2420,-0.3049,1.0765,0
270565,0.2649,-0.0200,-0.0249,0.9637,-0.2432,-0.3115,1.0962,0
270731,0.2649,-0.0201,-0.0250,0.9637,-0.2452,-0.3093,1.0855,0
270898,0.2648,-0.0201,-0.0252,0.9638,-0.2475,-0.3052,1.0725,0
271065,0.2648,-0.0202,-0.0253,0.9638,-0.2482,-0.3200,1.0864,0
271231,0.2648,-0.0203,-0.0255,0.9638,-0.2435,-0.3171,1.0688,0
271398,0.2647,-0.0203,-0.0257,0.9638,-0.2377,-0.3210,1.0697,0
271565,0.2647,-0.0204,-0.0258,0.9638,-0.2621,-0.3306,1.0941,0
271731,0.2647,-0.0205,-0.0260,0.9638,-0.2576,-0.3367,1.0815,0
271898,0.2647,-0.0205,-0.0261,0.9638,-0.2452,-0.3292,1.0926,0
272065,0.2647,-0.0206,-0.0263,0.9638,-0.2594,-0.3339,1.1046,0
272231,0.2646,-0.0206,-0.0264,0.9638,-0.2627,-0.3395,1.0847,0
272398,0.2646,-0.0207,-0.0266,0.9638,-0.2711,-0.3392,1.0747,0
272565,0.2646,-0.0208,-0.0268,0.9638,-0.2768,-0.3461,1.0938,0
272731,0.2645,-0.0208,-0.0269,0.9638,-0.2728,-0.3372,1.0633,0
272898,0.2645,-0.0209,-0.0271,0.9638,-0.2756,-0.3477,1.0972,0
273065,0.2644,-0.0209,-0.0272,0.9638,-0.2795,-0.3512,1.0714,0
273231,0.2644,-0.0210,-0.0273,0.9638,-0.2740,-0.3480,1.1178,0
273398,0.2644,-0.0210,-0.0275,0.9638,-0.2726,-0.3569,1.0615,0
273565,0.2644,-0.0211,-0.0276,0.9638,-0.2764,-0.3560,1.0678,0
273731,0.2644,-0.0211,-0.0277,0.9638,-0.2934,-0.3614,1.0940,0
273898,0.2643,-0.0212,-0.0279,0.9638,-0.2819,-0.3526,1.0724,0
274065,0.2642,-0.0212,-0.0280,0.9638,-0.2762,-0.3565,1.0565,0
274231,0.2641,-0.0213,-0.0281,0.9638,-0.2955,-0.3688,1.0839,0
274398,0.2640,-0.0213,-0.0282,0.9639,-0.2915,-0.3537,1.0808,0
274565,0.2640,-0.0214,-0.0284,0.9639,-0.2903,-0.3628,1.0768,0
274731,0.2640,-0.0214,-0.0285,0.9639,-0.2952,-0.3632,1.1033,0
274898,0.2639,-0.0214,-0.0286,0.9639,-0.2884,-0.3846,1.0766,0
275065,0.2639,-0.0215,-0.0287,0.9639,-0.2984,-0.3780,1.0629,0
275231,0.2639,-0.0215,-0.0288,0.9639,-0.2980,-0.3733,1.0958,0
275398,0.2639,-0.0216,-0.0289,0.9639,-0.2997,-0.3778,1.0759,0
275565,0.2638,-0.0216,-0.0290,0.9639,-0.2948,-0.3837,1.0791,0
275731,0.2638,-0.0217,-0.0291,0.9639,-0.2915,-0.3847,1.0935,0
275898,0.2638,-0.0217,-0.0292,0.9639,-0.3296,-0.3807,1.1053,0
276065,0.2638,-0.0217,-0.0293,0.9639,-0.2981,-0.3796,1.0634,0
276231,0.2638,-0.0218,-0.0294,0.9639,-0.3064,-0.3882,1.0725,0
276398,0.2638,-0.0218,-0.0295,0.9639,-0.3083,-0.3953,1.0698,0
276565,0.2637,-0.0219,-0.0296,0.9639,-0.3016,-0.3938,1.0822,0
276731,0.2636,-0.0219,-0.0297,0.9639,-0.3080,-0.3873,1.0827,0
276898,0.2656,-0.0127,-0.0074,0.9640,-0.0038,0.0184,1.0952,0
277065,0.2656,-0.0127,-0.0074,0.9640,0.0073,0.0182,1.0934,0
277231,0.2657,-0.0127,-0.0074,0.9639,0.0165,0.0238,1.1091,0
277398,0.2658,-0.0127,-0.0074,0.9639,0.0175,0.0133,1.0742,0
277565,0.2658,-0.0127,-0.0074,0.9639,0.0129,0.0174,1.0874,0
277731,0.2659,-0.0127,-0.0074,0.9639,0.0140,0.0197,1.0735,0
277898,0.2659,-0.0127,-0.0074,0.9639,0.0204,0.0133,1.1069,0
278065,0.2659,-0.0127,-0.0074,0.9639,0.0049,0.0166,1.0879,0
278231,0.2660,-0.0127,-0.0074,0.9639,0.0118,0.0320,1.0733,0
278398,0.2661,-0.0127,-0.0074,0.9638,0.0030,0.0084,1.0926,0
278565,0.2661,-0.0126,-0.0074,0.9638,0.0162,0.0274,1.1068,0
278731,0.2661,-0.0126,-0.0074,0.9638,0.0019,0.0135,1.0949,0
278898,0.2662,-0.0126,-0.0074,0.9638,0.0003,0.0109,1.0895,0
279065,0.2663,-0.0126,-0.0074,0.9638,0.0115,0.0021,1.0842,0
279231,0.2663,-0.0126,-0.0074,0.9638,0.0134,0.0083,1.1062,0
279398,0.2664,-0.0126,-0.0074,0.9638,0.0033,0.0183,1.0687,0
279565,0.2664,-0.0126,-0.0074,0.9637,0.0039,0.0071,1.1002,0
279731,0.2665,-0.0126,-0.0074,0.9637,0.0186,0.0228,1.0669,0
279898,0.2665,-0.0126,-0.0074,0.9637,0.0234,0.0287,1.1012,0
280065,0.2666,-0.0126,-0.0074,0.9637,0.0026,0.0107,1.0665,0
280231,0.2666,-0.0126,-0.0074,0.9637,0.0091,0.0105,1.0843,0
280398,0.2667,-0.0126,-0.0074,0.9637,-0.0003,0.0205,1.0796,0
280565,0.2667,-0.0126,-0.0074,0.9637,0.0130,0.0228,1.0819,0
280731,0.2668,-0.0126,-0.0074,0.9637,0.0146,0.0175,1.0772,0
280898,0.2668,-0.0126,-0.0074,0.9636,0.0174,0.0235,1.1030,0
281065,0.2668,-0.0126,-0.0074,0.9636,0.0129,0.0156,1.0927,0
281231,0.2669,-0.0126,-0.0074,0.9636,0.0074,0.0180,1.0805,0
281398,0.2669,-0.0126,-0.0074,0.9636,0.0120,0.0284,1.0733,0
281565,0.2669,-0.0126,-0.0074,0.9636,0.0194,0.0203,1.0881,0
281731,0.2670,-0.0126,-0.0074,0.9636,0.0009,0.0218,1.0992,0
281898,0.2670,-0.0126,-0.0074,0.9636,0.0192,0.0156,1.0831,0
282065,0.2670,-0.0126,-0.0074,0.9636,0.0239,0.0050,1.1059,0
282231,0.2670,-0.0126,-0.0074,0.9636,0.0221,0.0030,1.1033,0
282398,0.2670,-0.0126,-0.0074,0.9636,0.0133,0.0109,1.1005,0
282565,0.2671,-0.0126,-0.0074,0.9636,0.0238,0.0244,1.0856,0
282731,0.2671,-0.0126,-0.0074,0.9636,0.0080,0.0129,1.1015,0
282898,0.2671,-0.0126,-0.0074,0.9635,0.0281,0.0254,1.0941,0
283065,0.2672,-0.0126,-0.0074,0.9635,0.0182,0.0255,1.1030,0
283231,0.2672,-0.0126,-0.0074,0.9635,-0.0080,0.0161,1.0755,0
283398,0.2672,-0.0126,-0.0074,0.9635,0.0083,0.0228,1.1108,0
283565,0.2672,-0.0126,-0.0074,0.9635,0.0129,0.0116,1.0675,0
