DeviceTag: 4(left),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.543,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
259880,0.3641,-0.0076,-0.0055,0.9313,0.0085,-0.0039,0.4259,0
260047,0.3629,-0.0077,-0.0057,0.9318,0.0045,-0.0156,0.4510,0
260213,0.3624,-0.0077,-0.0058,0.9320,-0.0026,-0.0194,0.4252,0
260380,0.3625,-0.0077,-0.0058,0.9319,-0.0090,-0.0093,0.4473,0
260547,0.3618,-0.0077,-0.0058,0.9322,-0.0045,-0.0174,0.4362,0
260713,0.3617,-0.0077,-0.0059,0.9322,-0.0089,-0.0158,0.4197,0
260880,0.3615,-0.0076,-0.0060,0.9323,0.0006,-0.0032,0.4223,0
261047,0.3614,-0.0076,-0.0061,0.9324,0.0018,-0.0231,0.4140,0
261213,0.3613,-0.0075,-0.0062,0.9324,-0.0023,-0.0156,0.4405,0
261380,0.3618,-0.0075,-0.0064,0.9322,-0.0065,-0.0249,0.4228,0
261547,0.3616,-0.0074,-0.0065,0.9323,0.0045,-0.0214,0.4344,0
261714,0.3619,-0.0074,-0.0066,0.9322,0.0003,-0.0255,0.4345,0
261880,0.3617,-0.0074,-0.0068,0.9322,-0.0008,-0.0283,0.4251,0
262047,0.3619,-0.0074,-0.0069,0.9321,-0.0018,-0.0260,0.4256,0
262214,0.3625,-0.0073,-0.0071,0.9319,-0.0114,-0.0189,0.4284,0
262380,0.3624,-0.0073,-0.0072,0.9320,0.0023,-0.0288,0.4313,0
262547,0.3622,-0.0072,-0.0074,0.9320,-0.0036,-0.0380,0.4275,0
262714,0.3625,-0.0072,-0.0075,0.9319,-0.0152,-0.0421,0.4253,0
262880,0.3625,-0.0072,-0.0077,0.9319,-0.0054,-0.0537,0.4310,0
263047,0.3627,-0.0071,-0.0078,0.9318,0.0026,-0.0555,0.4187,0
263214,0.3627,-0.0071,-0.0079,0.9318,-0.0049,-0.0544,0.4415,0
263380,0.3624,-0.0071,-0.0081,0.9320,0.0073,-0.0465,0.4368,0
263547,0.3625,-0.0070,-0.0082,0.9319,0.0050,-0.0617,0.4230,0
263714,0.3623,-0.0070,-0.0084,0.9320,-0.0100,-0.0749,0.4262,0
263880,0.3622,-0.0069,-0.0085,0.9320,-0.0159,-0.0661,0.4441,0
264047,0.3621,-0.0069,-0.0086,0.9321,-0.0156,-0.0761,0.4523,0
264214,0.3622,-0.0069,-0.0088,0.9320,-0.0000,-0.0717,0.4178,0
264380,0.3626,-0.0068,-0.0089,0.9319,0.0094,-0.0636,0.4262,0
264547,0.3626,-0.0068,-0.0090,0.9319,-0.0034,-0.0827,0.4294,0
264714,0.3626,-0.0068,-0.0092,0.9319,-0.0223,-0.0837,0.4552,0
264880,0.3625,-0.0067,-0.0093,0.9319,-0.0114,-0.0723,0.4395,0
265047,0.3624,-0.0067,-0.0095,0.9320,-0.0092,-0.0789,0.4283,0
265214,0.3624,-0.0066,-0.0096,0.9320,-0.0031,-0.0758,0.4447,0
265380,0.3624,-0.0066,-0.0097,0.9319,-0.0070,-0.0914,0.4357,0
265547,0.3624,-0.0066,-0.0099,0.9319,-0.0170,-0.0868,0.4375,0
265714,0.3623,-0.0065,-0.0100,0.9320,-0.0070,-0.0968,0.4291,0
265880,0.3622,-0.0065,-0.0101,0.9320,-0.0209,-0.1038,0.4368,0
266047,0.3622,-0.0064,-0.0103,0.9320,0.0012,-0.1099,0.4148,0
266214,0.3621,-0.0064,-0.0104,0.9321,-0.0121,-0.1064,0.4429,0
266380,0.3621,-0.0064,-0.0106,0.9321,-0.0040,-0.0874,0.4302,0
266547,0.3620,-0.0063,-0.0107,0.9321,0.0015,-0.0973,0.4156,0
266714,0.3619,-0.0063,-0.0109,0.9321,-0.0116,-0.1155,0.4390,0
266880,0.3619,-0.0062,-0.0110,0.9321,-0.0097,-0.1317,0.4462,0
267047,0.3618,-0.0062,-0.0111,0.9322,-0.0184,-0.1208,0.4531,0
267214,0.3619,-0.0062,-0.0113,0.9321,-0.0111,-0.1201,0.4556,0
267380,0.3620,-0.0061,-0.0114,0.9321,-0.0181,-0.1310,0.4385,0
267547,0.3619,-0.0061,-0.0116,0.9321,-0.0069,-0.1403,0.4222,0
267714,0.3619,-0.0061,-0.0117,0.9321,-0.0098,-0.1298,0.4294,0
267880,0.3617,-0.0060,-0.0118,0.9322,-0.0121,-0.1228,0.4340,0
