DeviceTag: 5(right),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.006,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
254839,0.1007,-0.0072,-0.0078,0.9949,0.0111,-0.0021,0.0267,0
255006,0.1001,-0.0072,-0.0076,0.9949,0.0078,-0.0089,0.0057,0
255172,0.0999,-0.0072,-0.0074,0.9949,0.0045,0.0105,0.0258,0
255339,0.1005,-0.0072,-0.0072,0.9949,0.0230,-0.0003,0.0123,0
255506,0.1003,-0.0072,-0.0071,0.9949,0.0144,0.0133,-0.0050,0
255672,0.1002,-0.0072,-0.0070,0.9949,0.0183,0.0139,0.0153,0
255839,0.1002,-0.0073,-0.0069,0.9949,0.0238,0.0204,0.0078,0
256006,0.1007,-0.0073,-0.0068,0.9949,0.0025,0.0041,-0.0055,0
256172,0.1006,-0.0073,-0.0067,0.9949,0.0106,0.0351,0.0030,0
256339,0.1005,-0.0072,-0.0066,0.9949,0.0209,0.0071,0.0352,0
256506,0.1007,-0.0072,-0.0064,0.9949,0.0138,0.0226,0.0212,0
256672,0.1006,-0.0071,-0.0063,0.9949,0.0118,0.0169,0.0090,0
256839,0.1007,-0.0071,-0.0062,0.9949,0.0034,0.0343,0.0224,0
257006,0.1006,-0.0070,-0.0061,0.9949,0.0334,0.0412,0.0179,0
257172,0.1005,-0.0069,-0.0060,0.9949,0.0127,0.0330,0.0189,0
257339,0.1004,-0.0068,-0.0059,0.9949,0.0224,0.0306,0.0206,0
257506,0.1003,-0.0068,-0.0058,0.9949,0.0318,0.0272,0.0177,0
257672,0.1004,-0.0067,-0.0056,0.9949,0.0133,0.0087,0.0137,0
257839,0.1003,-0.0067,-0.0055,0.9949,0.0282,0.0251,0.0129,0
258006,0.1003,-0.0066,-0.0054,0.9949,0.0230,0.0378,0.0091,0
258172,0.1003,-0.0066,-0.0052,0.9949,0.0177,0.0469,0.0039,0
258339,0.1003,-0.0065,-0.0051,0.9949,0.0293,0.0468,0.0268,0
258506,0.1002,-0.0064,-0.0050,0.9949,0.0274,0.0498,0.0015,0
258672,0.1002,-0.0064,-0.0049,0.9949,0.0402,0.0493,0.0274,0
258839,0.1002,-0.0063,-0.0048,0.9949,0.0533,0.0714,0.0324,0
259006,0.1001,-0.0063,-0.0046,0.9949,0.0306,0.0612,0.0040,0
259172,0.1000,-0.0062,-0.0045,0.9950,0.0355,0.0498,0.0170,0
259339,0.1001,-0.0061,-0.0044,0.9950,0.0396,0.0562,-0.0040,0
259506,0.1001,-0.0061,-0.0043,0.9950,0.0401,0.0493,0.0108,0
259672,0.1001,-0.0060,-0.0041,0.9949,0.0410,0.0564,0.0129,0
259839,0.1001,-0.0060,-0.0040,0.9950,0.0484,0.0657,-0.0068,0
260006,0.1000,-0.0059,-0.0039,0.9950,0.0339,0.0626,0.0019,0
260172,0.1001,-0.0059,-0.0038,0.9950,0.0389,0.0791,0.0148,0
260339,0.1002,-0.0058,-0.0036,0.9949,0.0418,0.0594,0.0050,0
260506,0.1002,-0.0057,-0.0035,0.9949,0.0388,0.0653,0.0267,0
260672,0.1003,-0.0057,-0.0034,0.9949,0.0475,0.0738,0.0207,0
260839,0.1004,-0.0056,-0.0033,0.9949,0.0455,0.0680,0.0152,0
261006,0.1004,-0.0055,-0.0031,0.9949,0.0557,0.0699,0.0344,0
261172,0.1004,-0.0055,-0.0030,0.9949,0.0604,0.0823,-0.0072,0
261339,0.1005,-0.0054,-0.0029,0.9949,0.0637,0.0731,0.0195,0
261506,0.1004,-0.0054,-0.0027,0.9949,0.0565,0.0820,-0.0111,0
261672,0.1005,-0.0053,-0.0026,0.9949,0.0646,0.0776,0.0129,0
261839,0.1004,-0.0052,-0.0025,0.9949,0.0567,0.0950,0.0143,0
262006,0.1004,-0.0052,-0.0024,0.9949,0.0555,0.0995,0.0209,0
262172,0.1004,-0.0051,-0.0022,0.9949,0.0671,0.1116,0.0117,0
262339,0.1004,-0.0051,-0.0021,0.9949,0.0723,0.0907,-0.0026,0
262506,0.1004,-0.0050,-0.0020,0.9949,0.0629,0.1091,-0.0005,0
262672,0.1003,-0.0049,-0.0019,0.9949,0.0703,0.1145,0.0563,0
262839,0.1003,-0.0049,-0.0018,0.9949,0.0737,0.1096,0.0224,0
263006,0.1003,-0.0048,-0.0016,0.9949,0.0702,0.1078,0.0117,0
263172,0.1002,-0.0047,-0.0015,0.9950,0.0885,0.1093,0.0070,0
263339,0.1002,-0.0047,-0.0014,0.9950,0.0739,0.1084,-0.0011,0
263506,0.1001,-0.0046,-0.0013,0.9950,0.0820,0.1360,0.0113,0
263672,0.1000,-0.0046,-0.0012,0.9950,0.0745,0.1302,0.0020,0
263839,0.1000,-0.0045,-0.0010,0.9950,0.0740,0.1108,0.0207,0
264006,0.0999,-0.0044,-0.0009,0.9950,0.0833,0.1124,0.0071,0
264172,0.0999,-0.0044,-0.0008,0.9950,0.0794,0.1087,0.0533,0
264339,0.0998,-0.0043,-0.0007,0.9950,0.0887,0.1291,0.0088,0
264506,0.0998,-0.0043,-0.0005,0.9950,0.0937,0.1366,0.0241,0
264672,0.0998,-0.0042,-0.0004,0.9950,0.1017,0.1298,0.0091,0
264839,0.0997,-0.0041,-0.0003,0.9950,0.0866,0.1198,0.0065,0
265006,0.0997,-0.0041,-0.0002,0.9950,0.0781,0.1365,0.0279,0
265172,0.0996,-0.0040,-0.0001,0.9950,0.0753,0.1317,0.0370,0
265339,0.0996,-0.0040,0.0000,0.9950,0.1092,0.1472,0.0260,0
265506,0.0995,-0.0039,0.0001,0.9950,0.0838,0.1557,0.0160,0
265672,0.0995,-0.0039,0.0003,0.9950,0.0901,0.1535,0.0039,0
265839,0.0995,-0.0038,0.0004,0.9950,0.1062,0.1456,0.0207,0
266006,0.0995,-0.0037,0.0005,0.9950,0.0974,0.1444,0.0194,0
266172,0.0993,-0.0037,0.0006,0.9951,0.0931,0.1478,0.0351,0
266339,0.0993,-0.0036,0.0007,0.9951,0.1054,0.1505,0.0062,0
266506,0.0991,-0.0036,0.0008,0.9951,0.1002,0.1660,-0.0100,0
266672,0.0990,-0.0035,0.0009,0.9951,0.0901,0.1639,0.0312,0
266839,0.0989,-0.0035,0.0010,0.9951,0.1053,0.1515,0.0116,0
267006,0.0989,-0.0034,0.0012,0.9951,0.1196,0.1552,-0.0050,0
267172,0.0989,-0.0033,0.0013,0.9951,0.1030,0.1506,-0.0079,0
267339,0.0988,-0.0033,0.0014,0.9951,0.1099,0.1615,0.0102,0
267506,0.0989,-0.0032,0.0015,0.9951,0.1098,0.1667,0.0098,0
267672,0.0988,-0.0032,0.0016,0.9951,0.1069,0.1715,-0.0052,0
267839,0.0987,-0.0032,0.0017,0.9951,0.1058,0.1776,0.0061,0
268006,0.0987,-0.0031,0.0018,0.9951,0.1200,0.1766,-0.0005,0
268172,0.0986,-0.0031,0.0019,0.9951,0.1157,0.1830,-0.0019,0
268339,0.0985,-0.0030,0.0020,0.9951,0.1208,0.1780,0.0237,0
268506,0.0984,-0.0030,0.0021,0.9951,0.1210,0.1887,0.0116,0
268672,0.0984,-0.0029,0.0022,0.9951,0.1110,0.1849,-0.0052,0
268839,0.0982,-0.0029,0.0023,0.9952,0.1193,0.1781,0.0302,0
269006,0.0982,-0.0028,0.0024,0.9952,0.1093,0.1738,0.0150,0
269172,0.0981,-0.0028,0.0025,0.9952,0.1195,0.1813,0.0119,0
269339,0.0981,-0.0028,0.0026,0.9952,0.1245,0.2024,-0.0030,0
269506,0.0980,-0.0027,0.0027,0.9952,0.1191,0.1939,0.0039,0
269672,0.0980,-0.0027,0.0028,0.9952,0.1083,0.1946,0.0139,0
269839,0.0979,-0.0026,0.0028,0.9952,0.1034,0.2062,0.0001,0
270006,0.0978,-0.0026,0.0029,0.9952,0.1312,0.1853,0.0069,0
270172,0.0978,-0.0025,0.0030,0.9952,0.1320,0.2032,0.0241,0
270339,0.0978,-0.0025,0.0031,0.9952,0.1267,0.2021,0.0224,0
270506,0.0977,-0.0024,0.0032,0.9952,0.1251,0.2040,0.0059,0
270672,0.0977,-0.0024,0.0033,0.9952,0.1235,0.1990,0.0068,0
270839,0.0977,-0.0023,0.0034,0.9952,0.1163,0.2066,0.0204,0
271006,0.0976,-0.0023,0.0034,0.9952,0.1219,0.2043,-0.0085,0
271172,0.0976,-0.0023,0.0035,0.9952,0.1187,0.2013,0.0164,0
271339,0.0976,-0.0022,0.0036,0.9952,0.1403,0.2050,0.0263,0
271506,0.0976,-0.0022,0.0037,0.9952,0.1313,0.2201,0.0336,0
271673,0.0975,-0.0022,0.0037,0.9952,0.1374,0.2094,0.0324,0
271839,0.0975,-0.0021,0.0038,0.9952,0.1289,0.2247,-0.0000,0
272006,0.0974,-0.0021,0.0039,0.9952,0.1389,0.2176,0.0119,0
272173,0.0974,-0.0021,0.0040,0.9952,0.1222,0.2176,-0.0091,0
272339,0.0974,-0.0020,0.0041,0.9952,0.1360,0.2392,0.0298,0
272506,0.0974,-0.0020,0.0041,0.9952,0.1395,0.2212,0.0063,0
272673,0.0973,-0.0020,0.0042,0.9952,0.1254,0.2194,0.0189,0
272839,0.0973,-0.0019,0.0043,0.9952,0.1412,0.2074,-0.0169,0
273006,0.0973,-0.0019,0.0043,0.9952,0.1356,0.2169,-0.0014,0
273173,0.0972,-0.0019,0.0044,0.9953,0.1440,0.2220,0.0068,0
273339,0.0972,-0.0018,0.0044,0.9953,0.1476,0.2159,0.0139,0
273506,0.0971,-0.0018,0.0045,0.9953,0.1537,0.2207,0.0042,0
273673,0.0971,-0.0018,0.0046,0.9953,0.1305,0.2317,-0.0026,0
273839,0.0970,-0.0017,0.0046,0.9953,0.1392,0.2244,0.0085,0
274006,0.0970,-0.0017,0.0047,0.9953,0.1210,0.2138,0.0167,0
274173,0.0970,-0.0017,0.0047,0.9953,0.1488,0.2334,0.0346,0
274339,0.0969,-0.0016,0.0048,0.9953,0.1318,0.2304,0.0238,0
274506,0.0969,-0.0016,0.0049,0.9953,0.1449,0.2314,0.0153,0
274673,0.0993,-0.0080,-0.0077,0.9950,-0.0028,-0.0059,0.0064,0
274839,0.0992,-0.0080,-0.0077,0.9950,0.0029,0.0014,0.0258,0
275006,0.0992,-0.0079,-0.0077,0.9950,-0.0128,-0.0021,-0.0032,0
275173,0.0992,-0.0079,-0.0077,0.9950,-0.0104,0.0084,0.0379,0
275339,0.0992,-0.0079,-0.0077,0.9950,0.0083,0.0110,0.0097,0
275506,0.0992,-0.0080,-0.0077,0.9950,0.0097,0.0121,-0.0061,0
275673,0.0992,-0.0079,-0.0077,0.9950,-0.0055,-0.0019,-0.0019,0
275839,0.0993,-0.0079,-0.0077,0.9950,0.0063,-0.0019,0.0138,0
276006,0.0993,-0.0079,-0.0077,0.9950,0.0107,-0.0031,0.0192,0
276173,0.0993,-0.0079,-0.0077,0.9950,-0.0012,-0.0162,0.0179,0
276339,0.0993,-0.0079,-0.0077,0.9950,-0.0007,0.0014,-0.0039,0
276506,0.0993,-0.0079,-0.0077,0.9950,-0.0131,-0.0118,0.0186,0
276673,0.0993,-0.0079,-0.0077,0.9950,-0.0036,0.0058,0.0173,0
276839,0.0993,-0.0079,-0.0077,0.9950,0.0014,-0.0120,0.0146,0
277006,0.0994,-0.0079,-0.0077,0.9950,0.0052,0.0051,0.0230,0
277173,0.0994,-0.0079,-0.0077,0.9950,-0.0008,0.0018,0.0048,0
